team,season_end_year,srs,mov,net_rating,off_rating,def_rating,pace,w,l,win_pct
LAL,2011,6.01,6.11,6.7,111.0,104.3,90.7,57.0,25.0,0.695
MEM,2011,2.55,2.34,2.5,107.6,105.1,91.9,46.0,36.0,0.561
MIA,2011,6.76,7.46,8.2,111.7,103.5,90.9,58.0,24.0,0.707
MIL,2011,-1.02,-0.84,-0.9,101.6,102.5,89.8,35.0,47.0,0.427
MIN,2011,-5.97,-6.63,-6.9,104.2,111.1,96.5,17.0,65.0,0.207
NJN,2011,-6.28,-6.24,-6.8,103.1,109.9,89.9,24.0,58.0,0.293
NOP,2011,1.28,0.89,1.0,106.2,105.2,88.7,46.0,36.0,0.561
NYK,2011,0.48,0.78,0.8,110.9,110.1,95.6,42.0,40.0,0.512
OKC,2011,3.81,3.79,4.0,111.2,107.2,92.7,55.0,27.0,0.671
ORL,2011,4.92,5.46,5.9,107.9,102.0,91.2,52.0,30.0,0.634
PHI,2011,1.01,1.5,1.6,106.6,105.0,91.7,41.0,41.0,0.5
PHX,2011,-0.46,-0.89,-0.9,109.5,110.4,94.4,40.0,42.0,0.488
POR,2011,1.85,1.52,1.7,108.8,107.1,87.9,48.0,34.0,0.585
SAC,2011,-4.8,-5.34,-5.5,103.5,109.0,95.2,24.0,58.0,0.293
SAS,2011,5.86,5.71,6.2,111.8,105.6,92.3,61.0,21.0,0.744
TOR,2011,-6.28,-6.28,-6.8,106.1,112.9,92.9,22.0,60.0,0.268
UTA,2011,-1.44,-1.83,-2.0,108.1,110.1,91.0,39.0,43.0,0.476
WAS,2011,-7.3,-7.4,-7.8,102.4,110.2,93.8,23.0,59.0,0.28
ATL,2012,2.67,3.44,3.7,104.9,101.2,90.2,40.0,26.0,0.606
BOS,2012,2.26,2.52,2.8,101.0,98.2,90.4,39.0,27.0,0.591
CHA,2012,-13.96,-13.91,-15.2,95.2,110.4,91.1,7.0,59.0,0.106
CHI,2012,7.43,8.18,9.1,107.4,98.3,89.1,50.0,16.0,0.758
CLE,2012,-7.34,-7.2,-7.8,101.1,108.9,91.3,21.0,45.0,0.318
DAL,2012,1.78,0.95,1.0,103.3,102.3,91.4,36.0,30.0,0.546
DEN,2012,3.16,2.88,3.0,109.2,106.2,94.2,38.0,28.0,0.576
DET,2012,-5.19,-4.79,-5.3,101.0,106.3,89.2,25.0,41.0,0.379
GSW,2012,-2.79,-3.41,-3.7,105.4,109.1,92.3,23.0,43.0,0.348
HOU,2012,0.57,0.23,0.3,105.5,105.2,91.7,34.0,32.0,0.515
IND,2012,2.6,3.3,3.6,106.7,103.1,90.7,42.0,24.0,0.636
LAC,2012,2.82,2.56,2.8,108.5,105.7,89.2,40.0,26.0,0.606
LAL,2012,1.96,1.42,1.6,106.0,104.4,90.5,41.0,25.0,0.621
MEM,2012,2.43,2.02,2.2,104.0,101.8,90.8,41.0,25.0,0.621
MIA,2012,5.72,5.98,6.4,106.6,100.2,91.2,46.0,20.0,0.697
MIL,2012,-0.23,0.27,0.3,105.5,105.2,93.7,31.0,35.0,0.47
MIN,2012,-1.83,-2.2,-2.3,104.3,106.6,93.3,26.0,40.0,0.394
NJN,2012,-6.37,-5.98,-6.7,102.9,109.6,90.1,22.0,44.0,0.333
NOP,2012,-3.11,-3.76,-4.2,100.9,105.1,88.3,21.0,45.0,0.318
NYK,2012,2.39,3.2,3.4,104.4,101.0,93.2,36.0,30.0,0.546
OKC,2012,6.44,6.12,6.6,109.8,103.2,93.0,47.0,19.0,0.712
ORL,2012,0.46,0.79,0.9,105.0,104.1,89.0,37.0,29.0,0.561
PHI,2012,3.59,4.24,4.7,103.9,99.2,89.7,35.0,31.0,0.53
PHX,2012,0.29,-0.24,-0.3,106.2,106.5,92.6,33.0,33.0,0.5
POR,2012,-0.22,-0.62,-0.7,105.7,106.4,91.2,28.0,38.0,0.424
SAC,2012,-4.95,-5.68,-6.0,103.8,109.8,94.7,22.0,44.0,0.333
SAS,2012,7.28,7.17,7.7,110.9,103.2,92.9,50.0,16.0,0.758
TOR,2012,-3.67,-3.3,-3.7,100.8,104.5,89.3,23.0,43.0,0.348
UTA,2012,0.92,0.62,0.7,106.8,106.1,91.4,36.0,30.0,0.546
WAS,2012,-5.14,-4.8,-5.2,101.0,106.2,92.5,20.0,46.0,0.303
ATL,2013,-0.08,0.4,0.4,104.8,104.4,92.6,44.0,38.0,0.537
BKN,2013,1.25,1.78,2.0,108.2,106.2,88.8,49.0,33.0,0.598
BOS,2013,-0.62,-0.22,-0.2,103.1,103.3,91.7,41.0,40.0,0.506
CHA,2013,-9.29,-9.23,-10.0,101.5,111.5,91.5,21.0,61.0,0.256
CHI,2013,-0.02,0.32,0.3,103.5,103.2,89.3,45.0,37.0,0.549
CLE,2013,-4.87,-4.68,-5.1,104.3,109.4,92.3,24.0,58.0,0.293
DAL,2013,-0.24,-0.6,-0.6,105.9,106.5,94.1,41.0,41.0,0.5
DEN,2013,5.37,5.09,5.3,110.4,105.1,95.1,57.0,25.0,0.695
DET,2013,-4.33,-3.99,-4.3,103.8,108.1,90.8,29.0,53.0,0.354
GSW,2013,1.32,0.89,0.9,106.4,105.5,94.5,47.0,35.0,0.573
HOU,2013,3.69,3.48,3.6,109.7,106.1,96.1,45.0,37.0,0.549
IND,2013,3.34,4.02,4.5,104.3,99.8,90.2,49.0,32.0,0.605
LAC,2013,6.43,6.45,7.0,110.6,103.6,91.1,56.0,26.0,0.683
LAL,2013,1.48,1.16,1.2,107.8,106.6,94.4,45.0,37.0,0.549
MEM,2013,4.32,4.15,4.6,104.9,100.3,88.4,56.0,26.0,0.683
MIA,2013,7.03,7.87,8.6,112.3,103.7,90.7,66.0,16.0,0.805
MIL,2013,-1.83,-1.5,-1.6,103.6,105.2,94.7,38.0,44.0,0.463
MIN,2013,-1.83,-2.37,-2.5,102.9,105.4,92.8,31.0,51.0,0.378
NOP,2013,-3.12,-3.87,-4.4,105.7,110.1,88.5,27.0,55.0,0.329
NYK,2013,3.73,4.23,4.8,111.1,106.3,89.8,54.0,28.0,0.658
OKC,2013,9.15,9.21,9.8,112.4,102.6,93.3,60.0,22.0,0.732
ORL,2013,-7.12,-6.99,-7.5,101.6,109.1,92.2,20.0,62.0,0.244
PHI,2013,-3.51,-3.34,-3.7,102.0,105.7,91.0,34.0,48.0,0.415
PHX,2013,-5.75,-6.46,-6.9,101.2,108.1,93.4,25.0,57.0,0.305
POR,2013,-2.53,-3.17,-3.4,105.8,109.2,91.4,33.0,49.0,0.402
SAC,2013,-4.26,-4.88,-5.2,106.2,111.4,93.6,28.0,54.0,0.342
SAS,2013,6.67,6.4,6.7,108.3,101.6,94.2,58.0,24.0,0.707
TOR,2013,-1.96,-1.48,-1.6,105.9,107.5,90.4,34.0,48.0,0.415
UTA,2013,0.3,-0.09,-0.1,106.7,106.8,90.9,43.0,39.0,0.524
WAS,2013,-2.78,-2.54,-2.8,100.2,103.0,92.2,29.0,53.0,0.354
ATL,2014,-0.88,-0.48,-0.5,105.9,106.4,94.6,38.0,44.0,0.463
BKN,2014,-1.58,-1.0,-1.0,106.7,107.7,91.4,44.0,38.0,0.537
BOS,2014,-4.97,-4.46,-4.8,102.9,107.7,93.3,25.0,57.0,0.305
CHA,2014,-0.89,-0.22,-0.2,103.6,103.8,92.4,43.0,39.0,0.524
CHI,2014,1.2,1.85,2.0,102.5,100.5,90.2,48.0,34.0,0.585
CLE,2014,-3.86,-3.29,-3.5,104.2,107.7,93.1,33.0,49.0,0.402
DAL,2014,2.91,2.4,2.5,111.2,108.7,93.5,49.0,33.0,0.598
DEN,2014,-1.4,-2.15,-2.2,106.0,108.2,98.1,36.0,46.0,0.439
DET,2014,-4.13,-3.66,-3.8,105.9,109.7,94.9,29.0,53.0,0.354
GSW,2014,5.15,4.8,4.9,107.5,102.6,96.2,51.0,31.0,0.622
HOU,2014,5.06,4.56,4.7,111.0,106.3,96.3,54.0,28.0,0.658
IND,2014,3.63,4.4,4.8,104.1,99.3,92.5,56.0,26.0,0.683
LAC,2014,7.27,6.98,7.3,112.1,104.8,95.9,57.0,25.0,0.695
LAL,2014,-5.33,-6.29,-6.4,104.2,110.6,98.7,27.0,55.0,0.329
MEM,2014,2.18,1.57,1.7,106.3,104.6,89.9,50.0,32.0,0.61
MIA,2014,4.15,4.76,5.1,110.9,105.8,91.2,54.0,28.0,0.658
MIL,2014,-8.41,-8.18,-8.8,103.0,111.8,91.8,15.0,67.0,0.183
MIN,2014,3.1,2.67,2.7,108.9,106.2,97.3,40.0,42.0,0.488
NOP,2014,-1.98,-2.71,-2.9,107.2,110.1,92.2,34.0,48.0,0.415
NYK,2014,-1.4,-0.79,-0.8,108.3,109.1,90.3,37.0,45.0,0.451
OKC,2014,6.66,6.34,6.6,110.5,103.9,95.4,59.0,23.0,0.72
ORL,2014,-5.88,-5.44,-5.7,101.7,107.4,93.6,23.0,59.0,0.28
PHI,2014,-10.66,-10.45,-10.5,99.4,109.9,99.2,19.0,63.0,0.232
PHX,2014,3.02,2.63,2.8,109.5,106.7,95.8,48.0,34.0,0.585
POR,2014,4.44,3.99,4.1,111.5,107.4,94.9,54.0,28.0,0.658
SAC,2014,-2.08,-2.9,-3.1,105.7,108.8,94.4,28.0,54.0,0.342
SAS,2014,8.0,7.72,8.1,110.5,102.4,95.0,62.0,20.0,0.756
TOR,2014,2.55,3.24,3.5,108.8,105.3,91.8,48.0,34.0,0.585
UTA,2014,-6.27,-7.17,-7.8,103.5,111.3,91.4,25.0,57.0,0.305
WAS,2014,0.48,1.27,1.4,106.0,104.6,93.2,44.0,38.0,0.537
ATL,2015,4.75,5.43,5.8,108.9,103.1,93.9,60.0,22.0,0.732
BKN,2015,-3.13,-2.88,-3.0,104.4,107.4,92.7,38.0,44.0,0.463
BOS,2015,-0.4,0.16,0.2,104.7,104.5,95.8,40.0,42.0,0.488
CHA,2015,-3.44,-3.17,-3.4,100.1,103.5,93.0,33.0,49.0,0.402
CHI,2015,2.54,3.0,3.2,107.5,104.3,92.8,50.0,32.0,0.61
CLE,2015,4.08,4.48,4.8,111.1,106.3,92.3,53.0,29.0,0.646
DAL,2015,3.36,2.9,3.1,109.5,106.4,95.2,50.0,32.0,0.61
DEN,2015,-3.07,-3.55,-3.7,104.5,108.2,96.1,30.0,52.0,0.366
DET,2015,-1.39,-1.0,-1.1,105.3,106.4,92.8,32.0,50.0,0.39
GSW,2015,10.01,10.1,10.2,111.6,101.4,98.3,67.0,15.0,0.817
HOU,2015,3.82,3.44,3.6,107.0,103.4,96.5,56.0,26.0,0.683
IND,2015,-0.23,0.28,0.3,103.5,103.2,93.2,38.0,44.0,0.463
LAC,2015,6.8,6.59,6.9,112.4,105.5,94.7,56.0,26.0,0.683
LAL,2015,-6.17,-6.84,-7.2,103.4,110.6,94.0,21.0,61.0,0.256
MEM,2015,3.62,3.24,3.5,105.7,102.2,92.0,55.0,27.0,0.671
MIA,2015,-2.92,-2.6,-2.8,103.9,106.7,90.9,37.0,45.0,0.451
MIL,2015,-0.09,0.43,0.5,102.7,102.2,94.1,41.0,41.0,0.5
MIN,2015,-8.0,-8.79,-9.3,102.9,112.2,94.4,16.0,66.0,0.195
NOP,2015,1.13,0.79,0.9,108.2,107.3,91.4,45.0,37.0,0.549
NYK,2015,-9.5,-9.32,-10.1,99.9,110.0,91.2,17.0,65.0,0.207
OKC,2015,2.47,2.18,2.3,107.8,105.5,95.7,45.0,37.0,0.549
ORL,2015,-5.87,-5.72,-6.1,101.6,107.7,93.8,25.0,57.0,0.305
PHI,2015,-9.04,-8.98,-9.3,95.5,104.8,95.7,18.0,64.0,0.22
PHX,2015,-0.38,-0.9,-0.9,105.3,106.2,96.3,39.0,43.0,0.476
POR,2015,4.41,4.23,4.5,108.2,103.7,94.2,51.0,31.0,0.622
SAC,2015,-3.07,-3.71,-3.9,105.3,109.2,95.4,29.0,53.0,0.354
SAS,2015,6.34,6.2,6.5,108.5,102.0,93.8,55.0,27.0,0.671
TOR,2015,2.45,3.07,3.3,111.0,107.7,92.8,49.0,33.0,0.598
UTA,2015,0.71,0.22,0.2,105.1,104.9,90.4,38.0,44.0,0.463
WAS,2015,0.17,0.72,0.7,103.7,103.0,93.7,46.0,36.0,0.561
ATL,2016,3.49,3.61,3.7,105.1,101.4,97.1,48.0,34.0,0.585
BKN,2016,-7.12,-7.35,-7.7,103.2,110.9,95.2,21.0,61.0,0.256
BOS,2016,2.84,3.21,3.2,106.8,103.6,98.5,48.0,34.0,0.585
CHA,2016,2.36,2.72,2.9,107.2,104.3,95.6,48.0,34.0,0.585
CHI,2016,-1.46,-1.48,-1.5,105.0,106.5,95.7,42.0,40.0,0.512
CLE,2016,5.45,6.0,6.4,110.9,104.5,93.3,57.0,25.0,0.695
DAL,2016,-0.02,-0.3,-0.3,106.7,107.0,94.3,42.0,40.0,0.512
DEN,2016,-2.81,-3.1,-3.3,105.6,108.9,95.7,33.0,49.0,0.402
DET,2016,0.43,0.61,0.6,106.1,105.5,95.1,44.0,38.0,0.537
GSW,2016,10.38,10.76,10.7,114.5,103.8,99.3,73.0,9.0,0.89
HOU,2016,0.34,0.2,0.2,108.3,108.1,97.6,41.0,41.0,0.5
IND,2016,1.62,1.71,1.7,104.6,102.9,96.6,45.0,37.0,0.549
LAC,2016,4.13,4.28,4.5,108.3,103.8,95.8,53.0,29.0,0.646
LAL,2016,-8.92,-9.56,-10.0,101.6,111.6,95.6,17.0,65.0,0.207
MEM,2016,-2.14,-2.24,-2.4,105.4,107.8,93.3,42.0,40.0,0.512
MIA,2016,1.5,1.65,1.7,106.1,104.4,93.6,48.0,34.0,0.585
MIL,2016,-3.98,-4.18,-4.4,104.3,108.7,94.2,33.0,49.0,0.402
MIN,2016,-3.38,-3.54,-3.6,106.5,110.1,95.2,29.0,53.0,0.354
NOP,2016,-3.56,-3.79,-3.9,105.6,109.5,96.8,30.0,52.0,0.366
NYK,2016,-2.74,-2.73,-3.0,104.6,107.6,93.4,32.0,50.0,0.39
OKC,2016,7.09,7.28,7.5,113.1,105.6,96.7,55.0,27.0,0.671
ORL,2016,-1.68,-1.62,-1.7,105.1,106.8,96.0,35.0,47.0,0.427
PHI,2016,-9.92,-10.23,-10.4,98.8,109.2,97.9,10.0,72.0,0.122
PHX,2016,-6.32,-6.66,-6.8,102.2,109.0,98.5,23.0,59.0,0.28
POR,2016,0.98,0.83,0.8,108.8,108.0,96.0,44.0,38.0,0.537
SAC,2016,-2.32,-2.48,-2.4,106.0,108.4,100.0,33.0,49.0,0.402
SAS,2016,10.28,10.63,11.3,110.3,99.0,93.8,67.0,15.0,0.817
TOR,2016,4.08,4.5,4.8,110.0,105.2,92.9,56.0,26.0,0.683
UTA,2016,1.84,1.79,2.0,105.9,103.9,91.0,40.0,42.0,0.488
WAS,2016,-0.5,-0.5,-0.5,105.3,105.8,98.5,41.0,41.0,0.5
ATL,2017,-1.23,-0.85,-0.8,104.9,105.7,97.4,43.0,39.0,0.524
BKN,2017,-6.74,-6.73,-6.6,104.1,110.7,101.3,20.0,62.0,0.244
BOS,2017,2.25,2.63,2.8,111.2,108.4,96.8,53.0,29.0,0.646
CHA,2017,-0.07,0.2,0.2,108.8,108.6,95.7,36.0,46.0,0.439
CHI,2017,0.03,0.43,0.4,107.4,107.0,95.3,41.0,41.0,0.5
CLE,2017,2.87,3.18,3.3,113.6,110.3,96.2,51.0,31.0,0.622
DAL,2017,-2.53,-2.93,-3.2,105.6,108.8,92.2,33.0,49.0,0.402
DEN,2017,0.7,0.51,0.5,113.2,112.7,98.3,40.0,42.0,0.488
DET,2017,-1.29,-1.12,-1.1,106.0,107.1,95.0,37.0,45.0,0.451
GSW,2017,11.35,11.63,11.6,115.6,104.0,99.8,67.0,15.0,0.817
HOU,2017,5.84,5.77,5.7,114.7,109.0,100.0,55.0,27.0,0.671
IND,2017,-0.64,-0.22,-0.2,108.6,108.8,95.9,42.0,40.0,0.512
LAC,2017,4.42,4.29,4.5,112.7,108.2,96.1,51.0,31.0,0.622
LAL,2017,-6.29,-6.88,-7.0,106.0,113.0,98.5,26.0,56.0,0.317
MEM,2017,0.96,0.49,0.6,107.7,107.1,92.3,43.0,39.0,0.524
MIA,2017,0.77,1.06,1.1,107.8,106.7,95.2,41.0,41.0,0.5
MIL,2017,-0.45,-0.18,-0.2,109.1,109.3,94.5,42.0,40.0,0.512
MIN,2017,-0.64,-1.11,-1.2,110.8,112.0,94.6,31.0,51.0,0.378
NOP,2017,-1.69,-2.1,-2.2,105.2,107.4,98.0,34.0,48.0,0.415
NYK,2017,-3.87,-3.67,-3.8,107.7,111.5,96.0,31.0,51.0,0.378
OKC,2017,1.14,0.76,0.8,108.3,107.5,97.8,47.0,35.0,0.573
ORL,2017,-6.61,-6.57,-6.8,103.7,110.5,96.8,29.0,53.0,0.354
PHI,2017,-5.83,-5.7,-5.7,103.2,108.9,98.5,28.0,54.0,0.342
PHX,2017,-5.14,-5.63,-5.6,106.6,112.2,100.3,24.0,58.0,0.293
POR,2017,-0.23,-0.52,-0.5,110.3,110.8,96.7,41.0,41.0,0.5
SAC,2017,-3.29,-3.88,-4.0,107.3,111.3,94.9,32.0,50.0,0.39
SAS,2017,7.13,7.2,7.6,111.1,103.5,94.2,61.0,21.0,0.744
TOR,2017,3.65,4.21,4.5,112.3,107.8,94.7,51.0,31.0,0.622
UTA,2017,4.0,3.94,4.3,109.6,105.3,91.6,51.0,31.0,0.622
WAS,2017,1.36,1.8,1.9,111.2,109.3,97.4,49.0,33.0,0.598
ATL,2018,-5.3,-5.45,-5.6,105.0,110.6,98.3,24.0,58.0,0.293
BKN,2018,-3.67,-3.74,-3.7,106.9,110.6,98.9,28.0,54.0,0.342
BOS,2018,3.23,3.59,3.7,107.6,103.9,96.0,55.0,27.0,0.671
CHA,2018,0.07,0.26,0.3,109.4,109.1,98.4,36.0,46.0,0.439
CHI,2018,-6.84,-7.04,-7.1,103.8,110.9,98.3,27.0,55.0,0.329
CLE,2018,0.59,0.94,1.0,112.9,111.9,98.0,50.0,32.0,0.61
DAL,2018,-2.7,-3.04,-3.2,106.3,109.5,95.6,24.0,58.0,0.293
DEN,2018,1.57,1.48,1.5,112.5,111.0,96.8,46.0,36.0,0.561
DET,2018,-0.26,-0.15,-0.1,107.2,107.3,96.2,39.0,43.0,0.476
GSW,2018,5.79,5.98,5.9,113.6,107.7,99.6,58.0,24.0,0.707
HOU,2018,8.21,8.48,8.6,114.7,106.1,97.6,65.0,17.0,0.793
IND,2018,1.18,1.38,1.4,109.5,108.1,96.0,48.0,34.0,0.585
LAC,2018,0.15,0.04,0.1,110.3,110.2,98.7,42.0,40.0,0.512
LAL,2018,-1.44,-1.55,-1.5,106.5,108.0,100.3,35.0,47.0,0.427
MEM,2018,-5.81,-6.21,-6.5,104.5,111.0,94.9,22.0,60.0,0.268
MIA,2018,0.15,0.48,0.5,106.8,106.3,95.6,44.0,38.0,0.537
MIL,2018,-0.45,-0.3,-0.3,109.8,110.1,96.3,44.0,38.0,0.537
MIN,2018,2.35,2.23,2.3,113.4,111.1,96.0,47.0,35.0,0.573
NOP,2018,1.48,1.3,1.3,109.6,108.3,100.5,48.0,34.0,0.585
NYK,2018,-3.53,-3.56,-3.6,107.1,110.7,96.8,29.0,53.0,0.354
OKC,2018,3.42,3.41,3.5,110.7,107.2,96.7,48.0,34.0,0.585
ORL,2018,-4.92,-4.82,-4.9,105.2,110.1,98.1,25.0,57.0,0.305
PHI,2018,4.3,4.5,4.5,109.5,105.0,99.8,52.0,30.0,0.634
PHX,2018,-8.8,-9.37,-9.4,103.5,112.9,100.3,21.0,61.0,0.256
POR,2018,2.6,2.6,2.7,109.1,106.4,96.5,49.0,33.0,0.598
SAC,2018,-6.6,-6.99,-7.4,103.7,111.1,94.9,27.0,55.0,0.329
SAS,2018,2.89,2.89,3.1,107.9,104.8,95.0,47.0,35.0,0.573
TOR,2018,7.29,7.78,7.9,113.8,105.9,97.4,59.0,23.0,0.72
UTA,2018,4.47,4.3,4.5,108.4,103.9,95.7,48.0,34.0,0.585
WAS,2018,0.53,0.59,0.6,109.3,108.7,96.6,43.0,39.0,0.524
ATL,2019,-6.06,-6.02,-5.8,108.1,113.9,103.9,29.0,53.0,0.354
BKN,2019,-0.4,-0.07,-0.1,109.6,109.7,100.8,42.0,40.0,0.512
BOS,2019,3.9,4.44,4.4,112.2,107.8,99.6,49.0,33.0,0.598
CHA,2019,-1.32,-1.1,-1.1,111.4,112.5,98.7,39.0,43.0,0.476
CHI,2019,-8.32,-8.41,-8.4,104.8,113.2,99.0,22.0,60.0,0.268
CLE,2019,-9.39,-9.61,-9.9,107.7,117.6,96.6,19.0,63.0,0.232
DAL,2019,-0.87,-1.28,-1.3,109.4,110.7,99.0,33.0,49.0,0.402
DEN,2019,4.19,3.95,4.1,113.0,108.9,97.7,54.0,28.0,0.658
DET,2019,-0.56,-0.24,-0.2,109.0,109.2,97.4,41.0,41.0,0.5
GSW,2019,6.42,6.46,6.4,115.9,109.5,100.9,57.0,25.0,0.695
HOU,2019,4.96,4.77,4.8,115.5,110.7,97.9,53.0,29.0,0.646
IND,2019,2.76,3.33,3.4,109.9,106.5,98.1,48.0,34.0,0.585
LAC,2019,1.09,0.85,0.9,112.4,111.5,101.7,48.0,34.0,0.585
LAL,2019,-1.33,-1.72,-1.7,107.8,109.5,103.2,37.0,45.0,0.451
MEM,2019,-2.08,-2.6,-2.7,106.1,108.8,96.6,33.0,49.0,0.402
MIA,2019,-0.45,-0.23,-0.3,107.3,107.6,98.2,39.0,43.0,0.476
MIL,2019,8.04,8.87,8.6,113.8,105.2,103.3,60.0,22.0,0.732
MIN,2019,-1.02,-1.5,-1.5,111.4,112.9,100.2,36.0,46.0,0.439
NOP,2019,-1.1,-1.33,-1.2,111.4,112.6,103.3,33.0,49.0,0.402
NYK,2019,-8.93,-9.21,-9.2,104.5,113.7,99.6,17.0,65.0,0.207
OKC,2019,3.56,3.4,3.3,110.3,107.0,102.8,49.0,33.0,0.598
ORL,2019,0.28,0.71,0.8,108.9,108.1,98.1,42.0,40.0,0.512
PHI,2019,2.25,2.7,2.6,112.6,110.0,101.6,51.0,31.0,0.622
PHX,2019,-8.61,-9.34,-9.2,105.9,115.1,100.5,19.0,63.0,0.232
POR,2019,4.43,4.2,4.2,114.7,110.5,99.1,53.0,29.0,0.646
SAC,2019,-0.81,-1.12,-1.1,110.4,111.5,103.1,39.0,43.0,0.476
SAS,2019,1.8,1.68,1.7,112.9,111.2,98.3,48.0,34.0,0.585
TOR,2019,5.49,6.09,6.0,113.1,107.1,100.2,58.0,24.0,0.707
UTA,2019,5.28,5.26,5.2,110.9,105.7,100.3,50.0,32.0,0.61
WAS,2019,-3.3,-2.9,-2.8,111.1,113.9,101.4,32.0,50.0,0.39
ATL,2020,-7.71,-7.97,-7.6,107.2,114.8,103.0,20.0,47.0,0.298
BKN,2020,-1.01,-0.57,-0.6,108.9,109.5,101.4,35.0,37.0,0.486
BOS,2020,5.83,6.31,6.3,113.3,107.0,99.5,48.0,24.0,0.667
CHA,2020,-7.03,-6.75,-7.0,106.3,113.3,95.8,23.0,42.0,0.354
CHI,2020,-4.0,-3.08,-3.1,106.7,109.8,99.7,22.0,43.0,0.338
CLE,2020,-7.77,-7.89,-7.9,107.5,115.4,98.7,19.0,46.0,0.292
DAL,2020,4.87,4.95,5.0,116.7,111.7,99.3,43.0,32.0,0.573
DEN,2020,2.35,2.11,2.1,113.1,111.0,97.1,46.0,27.0,0.63
DET,2020,-4.38,-3.56,-3.7,109.0,112.7,97.6,20.0,46.0,0.303
GSW,2020,-8.12,-8.71,-8.6,105.2,113.8,100.3,15.0,50.0,0.231
HOU,2020,3.13,2.96,2.8,112.9,110.1,103.7,44.0,28.0,0.611
IND,2020,1.63,1.96,2.0,110.0,108.0,98.9,45.0,28.0,0.616
LAC,2020,6.66,6.44,6.3,113.9,107.6,101.5,49.0,23.0,0.681
LAL,2020,6.28,5.79,5.7,112.0,106.3,100.9,52.0,19.0,0.732
MEM,2020,-0.91,-1.07,-1.1,109.2,110.3,102.8,34.0,39.0,0.466
MIA,2020,2.59,2.95,3.0,112.5,109.5,98.3,44.0,29.0,0.603
MIL,2020,9.41,10.08,9.5,112.4,102.9,105.1,56.0,17.0,0.767
MIN,2020,-4.02,-4.3,-4.1,108.1,112.2,103.4,19.0,45.0,0.297
NOP,2020,-0.55,-1.29,-1.2,110.7,111.9,103.7,30.0,42.0,0.417
NYK,2020,-6.72,-6.45,-6.5,106.5,113.0,98.6,21.0,45.0,0.318
OKC,2020,2.33,1.99,2.0,110.8,108.8,98.8,44.0,28.0,0.611
ORL,2020,-0.93,-1.01,-1.0,108.5,109.5,98.6,33.0,40.0,0.452
PHI,2020,2.25,2.38,2.3,111.3,109.0,99.0,43.0,30.0,0.589
PHX,2020,0.56,0.22,0.3,111.7,111.4,101.3,34.0,39.0,0.466
POR,2020,-0.61,-1.15,-1.1,113.7,114.8,100.7,35.0,39.0,0.473
SAC,2020,-1.59,-2.04,-2.0,110.2,112.2,98.9,31.0,41.0,0.431
SAS,2020,-0.65,-1.11,-1.1,112.4,113.5,100.5,32.0,39.0,0.451
TOR,2020,5.97,6.24,6.1,111.1,105.0,100.9,53.0,19.0,0.736
UTA,2020,2.52,2.47,2.4,112.3,109.9,98.6,44.0,28.0,0.611
WAS,2020,-5.24,-4.67,-4.6,110.9,115.5,102.7,25.0,47.0,0.347
ATL,2021,2.14,2.32,2.4,115.7,113.3,97.6,41.0,31.0,0.569
BKN,2021,4.24,4.5,4.5,118.3,113.8,99.5,48.0,24.0,0.667
BOS,2021,1.32,1.46,1.5,114.0,112.5,98.3,36.0,36.0,0.5
CHA,2021,-1.94,-1.93,-1.9,110.9,112.8,98.3,33.0,39.0,0.458
CHI,2021,-0.94,-0.89,-0.9,111.1,112.0,99.0,31.0,41.0,0.431
CLE,2021,-8.19,-8.44,-8.6,105.8,114.4,97.3,22.0,50.0,0.306
DAL,2021,2.26,2.26,2.4,115.4,113.0,97.3,42.0,30.0,0.583
DEN,2021,4.82,4.93,5.0,117.1,112.1,97.1,47.0,25.0,0.653
DET,2021,-4.38,-4.47,-4.5,108.0,112.5,97.9,20.0,52.0,0.278
GSW,2021,1.1,1.06,1.0,111.1,110.1,102.2,39.0,33.0,0.542
HOU,2021,-7.5,-7.9,-7.8,107.1,114.9,101.4,17.0,55.0,0.236
IND,2021,-0.13,-0.04,0.0,112.4,112.4,101.6,34.0,38.0,0.472
LAC,2021,6.02,6.18,6.4,117.6,111.2,96.9,47.0,25.0,0.653
LAL,2021,2.77,2.79,2.8,109.9,107.1,98.7,42.0,30.0,0.583
MEM,2021,1.07,1.03,1.0,112.0,111.0,100.4,38.0,34.0,0.528
MIA,2021,-0.06,0.03,0.0,111.2,111.2,96.6,40.0,32.0,0.556
MIL,2021,5.57,5.89,5.8,117.2,111.4,102.2,46.0,26.0,0.639
MIN,2021,-5.25,-5.56,-5.5,109.5,115.0,101.6,23.0,49.0,0.319
NOP,2021,-0.2,-0.29,-0.3,113.5,113.8,100.1,31.0,41.0,0.431
NYK,2021,2.13,2.31,2.4,110.6,108.2,95.9,41.0,31.0,0.569
OKC,2021,-10.13,-10.64,-10.5,103.5,114.0,101.0,22.0,50.0,0.306
ORL,2021,-9.02,-9.31,-9.4,105.1,114.5,98.7,21.0,51.0,0.292
PHI,2021,5.28,5.58,5.6,113.2,107.6,99.5,49.0,23.0,0.681
PHX,2021,5.67,5.82,5.9,117.2,111.3,97.2,51.0,21.0,0.708
POR,2021,1.81,1.79,1.8,117.8,116.0,98.4,42.0,30.0,0.583
SAC,2021,-3.45,-3.68,-3.6,113.6,117.2,100.0,31.0,41.0,0.431
