game_id,team,event,rate,margin,min_left,season,season_end_year,won_game
20000055,BOS,0,26.557377049180328,27.0,1.0166666666666666,2000-01,2001,0
20000056,WAS,0,0.2244039270687237,8.0,35.65,2000-01,2001,1
20000056,CHI,0,0.587515299877601,8.0,13.616666666666667,2000-01,2001,0
20000057,MIL,0,10.12987012987013,13.0,1.2833333333333334,2000-01,2001,0
20000058,LAL,0,2.748091603053436,6.0,2.183333333333333,2000-01,2001,0
20000059,SAS,1,5.454545454545455,18.0,3.3,2000-01,2001,0
20000061,CLE,0,0.2159244264507422,8.0,37.05,2000-01,2001,1
20000061,NYK,0,2.2641509433962264,6.0,2.65,2000-01,2001,0
20000062,DET,0,7.164179104477612,8.0,1.1166666666666667,2000-01,2001,0
20000063,WAS,1,5.614035087719298,16.0,2.85,2000-01,2001,0
20000063,NJN,0,0.1323042998897464,6.0,45.35,2000-01,2001,1
20000064,CHH,0,0.2920497566252028,9.0,30.816666666666663,2000-01,2001,1
20000064,ORL,0,8.148148148148147,11.0,1.35,2000-01,2001,0
20000065,SEA,0,5.625,6.0,1.0666666666666669,2000-01,2001,0
20000066,MIL,0,10.0,11.0,1.1,2000-01,2001,0
20000067,DAL,0,21.6,27.0,1.25,2000-01,2001,0
20000068,LAL,0,8.0,10.0,1.25,2000-01,2001,0
20000069,MIN,0,0.4447189623224212,12.0,26.98333333333333,2000-01,2001,0
20000069,DEN,0,0.2659770964166974,12.0,45.11666666666667,2000-01,2001,1
20000070,LAC,0,4.390243902439025,6.0,1.3666666666666667,2000-01,2001,0
20000071,GSW,1,2.994836488812392,29.0,9.683333333333334,2000-01,2001,0
20000072,NJN,0,12.580645161290322,13.0,1.0333333333333334,2000-01,2001,0
20000073,CHH,0,2.9577464788732395,7.0,2.3666666666666667,2000-01,2001,0
20000073,SEA,0,0.189018901890189,7.0,37.03333333333333,2000-01,2001,1
20000074,ORL,0,5.901639344262295,6.0,1.0166666666666666,2000-01,2001,0
20000075,PHI,0,0.3965631196298744,10.0,25.216666666666665,2000-01,2001,1
20000075,MIN,0,0.1386748844375963,6.0,43.266666666666666,2000-01,2001,0
20000076,VAN,0,7.868852459016394,8.0,1.0166666666666666,2000-01,2001,0
20000076,HOU,0,0.4989604989604989,8.0,16.033333333333335,2000-01,2001,1
20000077,ATL,0,11.25,12.0,1.0666666666666669,2000-01,2001,0
